Tipologia,CAP,Coordinate,Indirizzo,UPL_#,UPL_nome,Id_Quartie,Quartiere,Circoscrizione,Utenti_potenz,lat,lng,googlemaps,osm
Fontanella,90125,"38.075049, 13.355524","Via Aloi, 123",14,Chiavelli - S.Maria di Gesù,13,Villagrazia - Falsomiele,III,8612,38.075049,13.355524,"https://maps.google.com/?q=38.075049,13.355524",https://www.openstreetmap.org/?mlat=38.075049&mlon=13.355524&zoom=18#map=18/38.075049/13.355524
Fontanella,90135,"38.125687, 13.308799","Via Castellana, 95",35,Passo di Rigano,17,Uditore - Passo di Rigano,V,5992,38.125687,13.308799,"https://maps.google.com/?q=38.125687,13.308799",https://www.openstreetmap.org/?mlat=38.125687&mlon=13.308799&zoom=18#map=18/38.125687/13.308799
Fontana,90121,"38.067715, 13.425265","Cortile Rapallo, 14",9,Ciaculli Croce Verde,12,Brancaccio - Ciaculli,II,2215,38.067715,13.425265,"https://maps.google.com/?q=38.067715,13.425265",https://www.openstreetmap.org/?mlat=38.067715&mlon=13.425265&zoom=18#map=18/38.067715/13.425265
Fontanella,90124,"38.093007, 13.388577","Via Conte Federico, 178",8,Brancaccio Conte Federico,12,Brancaccio - Ciaculli,II,1466,38.093007,13.388577,"https://maps.google.com/?q=38.093007,13.388577",https://www.openstreetmap.org/?mlat=38.093007&mlon=13.388577&zoom=18#map=18/38.093007/13.388577
Fontana,90133,"38.113334, 13.366064",Vicolo Mezzojuso,1,Tribunali o Kalsa,1,Tribunali-Castellammare,I,3089,38.113334,13.366064,"https://maps.google.com/?q=38.113334,13.366064",https://www.openstreetmap.org/?mlat=38.113334&mlon=13.366064&zoom=18#map=18/38.113334/13.366064
Fontanella,90133,"38.113609, 13.364339",Piazza Meschita,1,Tribunali o Kalsa,1,Tribunali-Castellammare,I,1047,38.113609,13.364339,"https://maps.google.com/?q=38.113609,13.364339",https://www.openstreetmap.org/?mlat=38.113609&mlon=13.364339&zoom=18#map=18/38.113609/13.364339
Fontanella,90133,"38.113426, 13.364561","Via Bologna, 24",1,Tribunali o Kalsa,1,Tribunali-Castellammare,I,1287,38.113426,13.364561,"https://maps.google.com/?q=38.113426,13.364561",https://www.openstreetmap.org/?mlat=38.113426&mlon=13.364561&zoom=18#map=18/38.113426/13.364561
Fontanella,90121,"38.09748, 13.416208","Via Messina Marine, 637",7,Roccella Acqua dei Corsari,11,Settecannoli,II,5149,38.09748,13.416208,"https://maps.google.com/?q=38.09748,13.416208",https://www.openstreetmap.org/?mlat=38.09748&mlon=13.416208&zoom=18#map=18/38.09748/13.416208
Fontanella,90123,"38.102967, 13.379517","Corso dei Mille, 384",6,Settecannoli,11,Settecannoli,II,2635,38.102967,13.379517,"https://maps.google.com/?q=38.102967,13.379517",https://www.openstreetmap.org/?mlat=38.102967&mlon=13.379517&zoom=18#map=18/38.102967/13.379517
Fontanella,90123,"38.09916, 13.401636","Via Sperone, 296",7,Roccella Acqua dei Corsari,11,Settecannoli,II,2021,38.09916,13.401636,"https://maps.google.com/?q=38.09916,13.401636",https://www.openstreetmap.org/?mlat=38.09916&mlon=13.401636&zoom=18#map=18/38.09916/13.401636
Fontanella,90123,"38.099477, 13.399401","Via Sperone, 66 A",7,Roccella Acqua dei Corsari,11,Settecannoli,II,1167,38.099477,13.399401,"https://maps.google.com/?q=38.099477,13.399401",https://www.openstreetmap.org/?mlat=38.099477&mlon=13.399401&zoom=18#map=18/38.099477/13.399401
Fontanella,90121,"38.088055, 13.420907",Corso dei Mille 1620,7,Roccella Acqua dei Corsari,11,Settecannoli,II,20168,38.088055,13.420907,"https://maps.google.com/?q=38.088055,13.420907",https://www.openstreetmap.org/?mlat=38.088055&mlon=13.420907&zoom=18#map=18/38.088055/13.420907
Fontanella,90124,"38.079082, 13.373998","Via Barresi ,7",14,Chiavelli - S.Maria di Gesù,13,Villagrazia - Falsomiele,III,5834,38.079082,13.373998,"https://maps.google.com/?q=38.079082,13.373998",https://www.openstreetmap.org/?mlat=38.079082&mlon=13.373998&zoom=18#map=18/38.079082/13.373998
Fontanella,90123,"38.105165, 13.371716","Via Decollati, 14",5,Corso dei Mille - S.Erasmo,3,Oreto - Stazione,II,6739,38.105165,13.371716,"https://maps.google.com/?q=38.105165,13.371716",https://www.openstreetmap.org/?mlat=38.105165&mlon=13.371716&zoom=18#map=18/38.105165/13.371716
Fontanella,90134,"38.116145, 13.358085","Via Del Celso, 85",3,Monte di Pietà  o Seralcadi,2,Palazzo Reale - Monte di Pietà,I,235,38.116145,13.358085,"https://maps.google.com/?q=38.116145,13.358085",https://www.openstreetmap.org/?mlat=38.116145&mlon=13.358085&zoom=18#map=18/38.116145/13.358085
Fontanella,90134,"38.113976, 13.359963","Piazzetta Pietro Speciale, 1",2,Palazzo Reale o Albergaria,2,Palazzo Reale - Monte di Pietà,I,1326,38.113976,13.359963,"https://maps.google.com/?q=38.113976,13.359963",https://www.openstreetmap.org/?mlat=38.113976&mlon=13.359963&zoom=18#map=18/38.113976/13.359963
