fid,tp_id,n,lng,lat,Tipologia,Coordinate,Indirizzo,UPL,UPL_nome,Quartiere,Circoscrizione,Id_Quartie,CAP,indizizzo_link
22,tp_022,22,13.308799,38.125687,Fontana,"38.125687, 13.308799","Via Castellana, 95",35,Passo di Rigano,Uditore - Passo di Rigano,V,17,90135,"<a href=""https://maps.google.com/?q=38.125687,13.308799"" title=""Via Castellana, 95"">Via Castellana, 95</a>"
23,tp_023,23,13.425265,38.067715,Fontana,"38.067715, 13.425265","Cortile Rapallo, 14",9,Ciaculli Croce Verde,Brancaccio - Ciaculli,II,12,90121,"<a href=""https://maps.google.com/?q=38.067715,13.425265"" title=""Cortile Rapallo, 14"">Cortile Rapallo, 14</a>"
24,tp_024,24,13.388577,38.093007,Fontanella,"38.093007, 13.388577","Via Conte Federico, 178",8,Brancaccio Conte Federico,Brancaccio - Ciaculli,II,12,90124,"<a href=""https://maps.google.com/?q=38.093007,13.388577"" title=""Via Conte Federico, 178"">Via Conte Federico, 178</a>"
25,tp_025,25,13.366064,38.113334,Fontana,"38.113334, 13.366064",Vicolo Mezzojuso,1,Tribunali o Kalsa,Tribunali-Castellammare,I,1,90133,"<a href=""https://maps.google.com/?q=38.113334,13.366064"" title=""Vicolo Mezzojuso"">Vicolo Mezzojuso</a>"
26,tp_026,26,13.364339,38.113609,Fontanella,"38.113609, 13.364339",Piazza Meschita,1,Tribunali o Kalsa,Tribunali-Castellammare,I,1,90133,"<a href=""https://maps.google.com/?q=38.113609,13.364339"" title=""Piazza Meschita"">Piazza Meschita</a>"
27,tp_027,27,13.364561,38.113426,Fontanella,"38.113426, 13.364561","Via Bologna, 24",1,Tribunali o Kalsa,Tribunali-Castellammare,I,1,90133,"<a href=""https://maps.google.com/?q=38.113426,13.364561"" title=""Via Bologna, 24"">Via Bologna, 24</a>"
28,tp_028,28,13.416208,38.09748,Fontanella,"38.09748, 13.416208","Via Messina Marine, 637",7,Roccella Acqua dei Corsari,Settecannoli,II,11,90121,"<a href=""https://maps.google.com/?q=38.09748,13.416208"" title=""Via Messina Marine, 637"">Via Messina Marine, 637</a>"
29,tp_029,29,13.379517,38.102967,Fontanella,"38.102967, 13.379517","Corso dei Mille, 384",6,Settecannoli,Settecannoli,II,11,90123,"<a href=""https://maps.google.com/?q=38.102967,13.379517"" title=""Corso dei Mille, 384"">Corso dei Mille, 384</a>"
30,tp_030,30,13.401636,38.09916,Fontanella,"38.09916, 13.401636","Via Sperone, 296",7,Roccella Acqua dei Corsari,Settecannoli,II,11,90123,"<a href=""https://maps.google.com/?q=38.09916,13.401636"" title=""Via Sperone, 296"">Via Sperone, 296</a>"
31,tp_031,31,13.399401,38.099477,Fontanella,"38.099477, 13.399401","Via Sperone, 66 A",7,Roccella Acqua dei Corsari,Settecannoli,II,11,90123,"<a href=""https://maps.google.com/?q=38.099477,13.399401"" title=""Via Sperone, 66 A"">Via Sperone, 66 A</a>"
32,tp_032,32,13.420907,38.088055,Fontanella,"38.088055, 13.420907",Corso dei Mille 1620,7,Roccella Acqua dei Corsari,Settecannoli,II,11,90121,"<a href=""https://maps.google.com/?q=38.088055,13.420907"" title=""Corso dei Mille 1620"">Corso dei Mille 1620</a>"
33,tp_033,33,13.373998,38.079082,Fontanella,"38.079082, 13.373998","Via Barresi ,7",14,Chiavelli - S.Maria di Gesù,Villagrazia - Falsomiele,III,13,90124,"<a href=""https://maps.google.com/?q=38.079082,13.373998"" title=""Via Barresi ,7"">Via Barresi ,7</a>"
34,tp_034,34,13.371716,38.105165,Fontanella,"38.105165, 13.371716","Via Decollati, 14",5,Corso dei Mille - S.Erasmo,Oreto - Stazione,II,3,90123,"<a href=""https://maps.google.com/?q=38.105165,13.371716"" title=""Via Decollati, 14"">Via Decollati, 14</a>"
35,tp_035,35,13.358085,38.116145,Fontanella,"38.116145, 13.358085","Via Del Celso, 85",3,Monte di Pietà  o Seralcadi,Palazzo Reale - Monte di Pietà,I,2,90134,"<a href=""https://maps.google.com/?q=38.116145,13.358085"" title=""Via Del Celso, 85"">Via Del Celso, 85</a>"
36,tp_036,36,13.359963,38.113976,Fontanella,"38.113976, 13.359963","Piazzetta Pietro Speciale, 1",2,Palazzo Reale o Albergaria,Palazzo Reale - Monte di Pietà,I,2,90134,"<a href=""https://maps.google.com/?q=38.113976,13.359963"" title=""Piazzetta Pietro Speciale, 1"">Piazzetta Pietro Speciale, 1</a>"
37,tp_037,37,13.365852,38.120135,Fontanella,"38.120135, 13.365852","Piazza Tavola Tonda, 18",4,Castellammare o Loggia,Tribunali-Castellammare,I,1,90133,"<a href=""https://maps.google.com/?q=38.120135,13.365852"" title=""Piazza Tavola Tonda, 18"">Piazza Tavola Tonda, 18</a>"
38,tp_038,38,13.355584,38.112656,Fontana,"38.112656, 13.355584",Piazza Vittoria,2,Palazzo Reale o Albergaria,Palazzo Reale - Monte di Pietà,I,2,90134,"<a href=""https://maps.google.com/?q=38.112656,13.355584"" title=""Piazza Vittoria"">Piazza Vittoria</a>"
39,tp_039,39,13.341897,38.104312,Fontanella,"38.104312, 13.341897","Via Agostino Catalano, 80",18,Cuba - Calatafimi,Cuba - Calatafimi,IV,5,90129,"<a href=""https://maps.google.com/?q=38.104312,13.341897"" title=""Via Agostino Catalano, 80"">Via Agostino Catalano, 80</a>"
40,tp_040,40,13.356055,38.116226,Fontanella,"38.116226, 13.356055","Piazza San Giovannialla Guilla, 4",3,Monte di Pietà  o Seralcadi,Palazzo Reale - Monte di Pietà,I,2,90134,"<a href=""https://maps.google.com/?q=38.116226,13.356055"" title=""Piazza San Giovannialla Guilla, 4"">Piazza San Giovannialla Guilla, 4</a>"
41,tp_041,41,13.359141,38.115866,Fontanella,"38.115866, 13.359141","Piazzetta della Canna, 2",3,Monte di Pietà  o Seralcadi,Palazzo Reale - Monte di Pietà,I,2,90134,"<a href=""https://maps.google.com/?q=38.115866,13.359141"" title=""Piazzetta della Canna, 2"">Piazzetta della Canna, 2</a>"
42,tp_042,42,13.35887,38.109595,Fontanella,"38.109595, 13.35887","Piazza Ritiro San Pietro, 20",2,Palazzo Reale o Albergaria,Palazzo Reale - Monte di Pietà,I,2,90134,"<a href=""https://maps.google.com/?q=38.109595,13.35887"" title=""Piazza Ritiro San Pietro, 20"">Piazza Ritiro San Pietro, 20</a>"
43,tp_043,43,13.358557,38.1169,Fontanella,"38.1169, 13.358557","Piazzetta delle Api, 6",3,Monte di Pietà  o Seralcadi,Palazzo Reale - Monte di Pietà,I,2,90134,"<a href=""https://maps.google.com/?q=38.1169,13.358557"" title=""Piazzetta delle Api, 6"">Piazzetta delle Api, 6</a>"
44,tp_044,44,13.350762,38.131958,Fontana,"38.131958, 13.350762",Via della Libertà Giardino Inglese,39,Notarbartolo - Giardino Inglese,Libertà,VIII,9,90141,"<a href=""https://maps.google.com/?q=38.131958,13.350762"" title=""Via della Libertà Giardino Inglese"">Via della Libertà Giardino Inglese</a>"
45,tp_045,45,13.333445,38.07816,Fontanella,"38.07816, 13.333445",Piazza Villagrazia,15,Villagrazia,Villagrazia - Falsomiele,III,13,90126,"<a href=""https://maps.google.com/?q=38.07816,13.333445"" title=""Piazza Villagrazia"">Piazza Villagrazia</a>"
46,tp_046,46,13.369887,38.076736,Fontanella,"38.076736, 13.369887",Fondo Pecoraro (Via Falsomiele),14,Chiavelli - S.Maria di Gesù,Villagrazia - Falsomiele,III,13,90124,"<a href=""https://maps.google.com/?q=38.076736,13.369887"" title=""Fondo Pecoraro (Via Falsomiele)"">Fondo Pecoraro (Via Falsomiele)</a>"
47,tp_047,47,13.325337,38.110006,Fontanella,"38.110006, 13.325337",Via Madonna Del Soccorso 3,23,Altarello - Tasca Lanza,Altarello,IV,15,90135,"<a href=""https://maps.google.com/?q=38.110006,13.325337"" title=""Via Madonna Del Soccorso 3"">Via Madonna Del Soccorso 3</a>"
48,tp_048,48,13.312688,38.196577,Fontanella,"38.196577, 13.312688","Via Lorenzo Iandolino, 54",50,Partanna Mondello,Partanna Mondello,VII,22,90151,"<a href=""https://maps.google.com/?q=38.196577,13.312688"" title=""Via Lorenzo Iandolino, 54"">Via Lorenzo Iandolino, 54</a>"
49,tp_049,49,13.36362,38.14766,Fontanella,"38.147660, 13.363620",Via Cortile Castellana Bandiera,52,Montepellegrino,Montepellegrino,VIII,24,90142,"<a href=""https://maps.google.com/?q=38.14766,13.36362"" title=""Via Cortile Castellana Bandiera"">Via Cortile Castellana Bandiera</a>"
50,tp_050,50,13.311662,38.125994,Fontana,"38.125994, 13.311662",Vicolo Seidita In Via Casamicciola,35,Passo di Rigano,Uditore - Passo di Rigano,V,17,90135,"<a href=""https://maps.google.com/?q=38.125994,13.311662"" title=""Vicolo Seidita In Via Casamicciola"">Vicolo Seidita In Via Casamicciola</a>"
