id,X,Y,Z,Name,description,timestamp,begin,end,altitudeMode,tessellate,extrude,visibility,drawOrder,icon,Indirizzo,Coordinate,Visualizza_Analisi
FW14,13.329823,38.140232,0,Fontanella Via Conceria,"Codice Fontana: FW14<br>Indirizzo: Via Conceria<br>Coordinate: 38.140232, 13.329823<br>Visualizza Analisi: https://www.amapspa.it/it/analisi-fontanelle-di-palermo/fw14-fontanella-via-conceria/",,,,,-1,0,-1,,,Via Conceria,"38.140232, 13.329823",https://www.amapspa.it/it/analisi-fontanelle-di-palermo/fw14-fontanella-via-conceria/
FW15,13.334822,38.153186,0,Fontanella Via Resuttana (Briuccia),"Codice Fontana: FW15<br>Indirizzo: Via Resuttana (Briuccia)<br>Coordinate: 38.153186, 13.334822<br>Visualizza Analisi: https://www.amapspa.it/it/analisi-fontanelle-di-palermo/fw15-via-resuttana-briuccia/",,,,,-1,0,-1,,,Via Resuttana (Briuccia),"38.153186, 13.334822",https://www.amapspa.it/it/analisi-fontanelle-di-palermo/fw15-via-resuttana-briuccia/
FW16,13.371165,38.154213,0,Fontanella Via Cardinale Massaia,"Codice Fontana: FW16<br>Indirizzo: Via Cardinale Massaia<br>Coordinate: 38.154213, 13.371165<br>Visualizza Analisi: https://www.amapspa.it/it/analisi-fontanelle-di-palermo/fw16-fontanella-via-cardinale-massaia/",,,,,-1,0,-1,,,Via Cardinale Massaia,"38.154213, 13.371165",https://www.amapspa.it/it/analisi-fontanelle-di-palermo/fw16-fontanella-via-cardinale-massaia/
FW17,13.323633,38.162785,0,Fontanella Via S. Lorenzo 155,"Codice Fontana: FW17<br>Indirizzo: Via S. Lorenzo 155<br>Coordinate: 38.162785, 13.323633<br>Visualizza Analisi: https://www.amapspa.it/it/analisi-fontanelle-di-palermo/fw17-fontanella-via-s-lorenzo-155/",,,,,-1,0,-1,,,Via S. Lorenzo 155,"38.162785, 13.323633",https://www.amapspa.it/it/analisi-fontanelle-di-palermo/fw17-fontanella-via-s-lorenzo-155/
FW18,13.301743,38.174382,0,Fontanella Via Tommaso Natale 61,"Codice Fontana: FW18<br>Indirizzo: Via Tommaso Natale 61<br>Coordinate: 38.174382, 13.301743<br>Visualizza Analisi: https://www.amapspa.it/it/analisi-fontanelle-di-palermo/fw18-fontanella-via-tommaso-natale-61/",,,,,-1,0,-1,,,Via Tommaso Natale 61,"38.174382, 13.301743",https://www.amapspa.it/it/analisi-fontanelle-di-palermo/fw18-fontanella-via-tommaso-natale-61/
FW19,13.289097,38.188327,0,Fontanella Piazza Mandorle,"Codice Fontana: FW19<br>Indirizzo: Piazza Mandorle<br>Coordinate: 38.188327, 13.289097<br>Visualizza Analisi: https://www.amapspa.it/it/analisi-fontanelle-di-palermo/fw19-fontanella-piazza-mandorle/",,,,,-1,0,-1,,,Piazza Mandorle,"38.188327, 13.289097",https://www.amapspa.it/it/analisi-fontanelle-di-palermo/fw19-fontanella-piazza-mandorle/
FW20,13.276028,38.19924,0,Fontanella Via Amorello,"Codice Fontana: FW20<br>Indirizzo: Via Amorello<br>Coordinate: 38.19924, 13.276028<br>Visualizza Analisi: https://www.amapspa.it/it/analisi-fontanelle-di-palermo/fw20-fontanella-via-amorello/",,,,,-1,0,-1,,,Via Amorello,"38.19924, 13.276028",https://www.amapspa.it/it/analisi-fontanelle-di-palermo/fw20-fontanella-via-amorello/
FW21,13.318446,38.198446,0,"Fontanella Via Carbone, 1 ","Codice Fontana: FW21<br>Indirizzo: Via Carbone, 1 <br>Coordinate: 38.198446, 13.318446<br>Visualizza Analisi: https://www.amapspa.it/it/analisi-fontanelle-di-palermo/fw21-fontanella-via-carbone/",,,,,-1,0,-1,,,"Via Carbone, 1 ","38.198446, 13.318446",https://www.amapspa.it/it/analisi-fontanelle-di-palermo/fw21-fontanella-via-carbone/
FW22,13.326597,38.20721,0,Fontanella Via Torre di Mondello,"Codice Fontana: FW22<br>Indirizzo: Via Torre di Mondello<br>Coordinate: 38.20721, 13.326597<br>Visualizza Analisi: https://www.amapspa.it/it/analisi-fontanelle-di-palermo/fw22-fontanella-via-torre-di-mondello/",,,,,-1,0,-1,,,Via Torre di Mondello,"38.20721, 13.326597",https://www.amapspa.it/it/analisi-fontanelle-di-palermo/fw22-fontanella-via-torre-di-mondello/
FW23,13.371716,38.105165,0,Fontanella Via Decollati 14,"Codice Fontana: FW23<br>Indirizzo: Via Decollati 14<br>Coordinate: 38.105165, 13.371716<br>Visualizza Analisi: https://www.amapspa.it/it/analisi-fontanelle-di-palermo/fw23-fontanella-via-decollati-14/",,,,,-1,0,-1,,,Via Decollati 14,"38.105165, 13.371716",https://www.amapspa.it/it/analisi-fontanelle-di-palermo/fw23-fontanella-via-decollati-14/
FW24,13.368958,38.100082,0,Fontanella Via Guadagna 50,"Codice Fontana: FW24<br>Indirizzo: Via Guadagna 50<br>Coordinate: 38.100082, 13.368958<br>Visualizza Analisi: https://www.amapspa.it/it/analisi-fontanelle-di-palermo/fw24-fontanella-via-guadagna-50/",,,,,-1,0,-1,,,Via Guadagna 50,"38.100082, 13.368958",https://www.amapspa.it/it/analisi-fontanelle-di-palermo/fw24-fontanella-via-guadagna-50/
FW25,13.401636,38.09916,0,Fontanella Via Sperone 296,"Codice Fontana: FW25<br>Indirizzo: Via Sperone 296<br>Coordinate: 38.09916, 13.401636<br>Visualizza Analisi: https://www.amapspa.it/it/analisi-fontanelle-di-palermo/fw25-fontanella-via-sperone-296/",,,,,-1,0,-1,,,Via Sperone 296,"38.09916, 13.401636",https://www.amapspa.it/it/analisi-fontanelle-di-palermo/fw25-fontanella-via-sperone-296/
FW26,13.385614,38.093773,0,Fontanella Via Conte Federico 61,"Codice Fontana: FW26<br>Indirizzo: Via Conte Federico 61<br>Coordinate: 38.093773, 13.385614<br>Visualizza Analisi: https://www.amapspa.it/it/analisi-fontanelle-di-palermo/fw26-fontanella-via-conte-federico-61/",,,,,-1,0,-1,,,Via Conte Federico 61,"38.093773, 13.385614",https://www.amapspa.it/it/analisi-fontanelle-di-palermo/fw26-fontanella-via-conte-federico-61/
FW27,13.373998,38.079082,0,Fontanella Via Barresi,"Codice Fontana: FW27<br>Indirizzo: Via Barresi<br>Coordinate: 38.079082, 13.373998<br>Visualizza Analisi: https://www.amapspa.it/it/analisi-fontanelle-di-palermo/fw27-fontanella-via-barresi/",,,,,-1,0,-1,,,Via Barresi,"38.079082, 13.373998",https://www.amapspa.it/it/analisi-fontanelle-di-palermo/fw27-fontanella-via-barresi/
FW28,13.420907,38.088055,0,Fontanella Corso dei Mille 1620,"Codice Fontana: FW28<br>Indirizzo: Corso dei Mille 1620<br>Coordinate: 38.088055, 13.420907<br>Visualizza Analisi: https://www.amapspa.it/it/analisi-fontanelle-di-palermo/fw28-fontanella-corso-dei-mille-1620/",,,,,-1,0,-1,,,Corso dei Mille 1620,"38.088055, 13.420907",https://www.amapspa.it/it/analisi-fontanelle-di-palermo/fw28-fontanella-corso-dei-mille-1620/
FW29,13.407128,38.075933,0,Fontanella Via Ciaculli 403,"Codice Fontana: FW29<br>Indirizzo: Via Ciaculli 403<br>Coordinate: 38.075933, 13.407128<br>Visualizza Analisi: https://www.amapspa.it/it/analisi-fontanelle-di-palermo/fw29-fontanella-via-ciaculli-403/",,,,,-1,0,-1,,,Via Ciaculli 403,"38.075933, 13.407128",https://www.amapspa.it/it/analisi-fontanelle-di-palermo/fw29-fontanella-via-ciaculli-403/
FW30,13.418857,38.068542,0,Fontanella Via Giardina 2,"Codice Fontana: FW30<br>Indirizzo: Via Giardina 2<br>Coordinate: 38.068542, 13.418857<br>Visualizza Analisi: https://www.amapspa.it/it/analisi-fontanelle-di-palermo/fw30-fontanella-via-giardina-2/",,,,,-1,0,-1,,,Via Giardina 2,"38.068542, 13.418857",https://www.amapspa.it/it/analisi-fontanelle-di-palermo/fw30-fontanella-via-giardina-2/
