Codice comune,Denominazione,Eta,Maschi celibi,Maschi coniugati,Maschi divorziati,Maschi vedovi,Maschi uniti civilmente,Maschi già in unione civile (per scioglimento),Maschi già in unione civile (per decesso del partner),Totale Maschi,Femmine nubili,Femmine coniugate,Femmine divorziate,Femmine vedove,Femmine unite civilmente,Femmine già in unione civile (per scioglimento),Femmine già in unione civile (per decesso del partner),Totale Femmine
82053,Palermo,76,79,1919,43,236,0,0,0,2277,287,1340,93,1186,0,0,0,2906
82053,Palermo,77,77,1738,37,265,0,0,0,2117,326,1179,86,1323,0,0,0,2914
82053,Palermo,78,96,1731,28,274,0,0,0,2129,342,1236,84,1463,0,0,0,3125
82053,Palermo,79,80,1536,43,255,0,0,0,1914,299,1012,75,1454,0,0,0,2840
82053,Palermo,80,80,1481,41,281,0,0,0,1883,296,910,73,1511,0,0,0,2790
82053,Palermo,81,80,1218,21,232,0,0,0,1551,260,756,65,1373,0,0,0,2454
82053,Palermo,82,57,1127,24,229,0,0,0,1437,232,583,62,1404,0,0,0,2281
82053,Palermo,83,56,947,17,236,0,0,0,1256,234,507,41,1475,0,0,0,2257
82053,Palermo,84,60,794,10,269,1,0,0,1134,213,451,49,1495,0,0,0,2208
82053,Palermo,85,39,777,8,256,0,0,0,1080,222,343,34,1423,0,0,0,2022
82053,Palermo,86,35,647,8,242,0,0,0,932,185,281,30,1245,0,0,0,1741
82053,Palermo,87,29,522,3,249,0,0,0,803,175,217,25,1195,0,0,0,1612
82053,Palermo,88,31,448,3,228,0,0,0,710,183,170,23,1206,0,0,0,1582
82053,Palermo,89,24,308,5,174,0,0,0,511,134,95,9,898,0,0,0,1136
82053,Palermo,90,10,270,5,161,0,0,0,446,132,96,11,807,0,0,0,1046
82053,Palermo,91,11,168,6,134,0,0,0,319,87,51,9,655,0,0,0,802
82053,Palermo,92,12,134,5,122,0,0,0,273,71,35,15,584,0,0,0,705
82053,Palermo,93,9,85,2,104,0,0,0,200,62,31,8,476,0,0,0,577
82053,Palermo,94,5,52,1,78,0,0,0,136,58,16,5,397,0,0,0,476
82053,Palermo,95,1,38,0,64,0,0,0,103,43,17,3,288,0,0,0,351
82053,Palermo,96,5,23,0,46,0,0,0,74,40,14,1,214,0,0,0,269
82053,Palermo,97,1,21,1,35,0,0,0,58,16,6,2,132,0,0,0,156
82053,Palermo,98,0,10,0,15,0,0,0,25,22,5,1,99,0,0,0,127
82053,Palermo,99,0,4,0,11,0,0,0,15,9,1,0,44,0,0,0,54
82053,Palermo,100,0,6,0,10,0,0,0,16,16,4,0,83,0,0,0,103
