id,id_1,n,Nome,Indirizzo,Coordinate,X,Y,maps,osm
tp_097,097,97,FONTANELLA,"VIA TOMMASO NATALE, 61","38.174382, 13.301743",13.301743,38.174382,"https://maps.google.com/?q=38.174382,13.301743",https://www.openstreetmap.org/?mlat=38.174382&mlon=13.301743&zoom=18#map=18/38.174382/13.301743
tp_098,098,98,FONTANELLA,"VIA  MASSAIA GUGLIELMO CARDINALE, 159","38.154213, 13.371165",13.371165,38.154213,"https://maps.google.com/?q=38.154213,13.371165",https://www.openstreetmap.org/?mlat=38.154213&mlon=13.371165&zoom=18#map=18/38.154213/13.371165
tp_099,099,99,FONTANELLA,"CORSO CALATAFIMI, 927","38.100284, 13.323104",13.323104,38.100284,"https://maps.google.com/?q=38.100284,13.323104",https://www.openstreetmap.org/?mlat=38.100284&mlon=13.323104&zoom=18#map=18/38.100284/13.323104
tp_100,100,100,FONTANELLA,"VIA RESUTTANA, 418 ","38.153186, 13.334822",13.334822,38.153186,"https://maps.google.com/?q=38.153186,13.334822",https://www.openstreetmap.org/?mlat=38.153186&mlon=13.334822&zoom=18#map=18/38.153186/13.334822
tp_101,101,101,FONTANELLA,PIAZZETTA SCANNASERPE,"38.153059, 13.332909",13.332909,38.153059,"https://maps.google.com/?q=38.153059,13.332909",https://www.openstreetmap.org/?mlat=38.153059&mlon=13.332909&zoom=18#map=18/38.153059/13.332909
tp_102,102,102,FONTANELLA,"VIA NUOVA 106, ","38.159765, 13.321899",13.321899,38.159765,"https://maps.google.com/?q=38.159765,13.321899",https://www.openstreetmap.org/?mlat=38.159765&mlon=13.321899&zoom=18#map=18/38.159765/13.321899
tp_103,103,103,FONTANELLA,"VIA GIUSINO, 24 ","38.172812, 13.334687",13.334687,38.172812,"https://maps.google.com/?q=38.172812,13.334687",https://www.openstreetmap.org/?mlat=38.172812&mlon=13.334687&zoom=18#map=18/38.172812/13.334687
tp_104,104,104,FONTANELLA,"VIA ISAC RABIN, 33","38.144163, 13.357473",13.357473,38.144163,"https://maps.google.com/?q=38.144163,13.357473",https://www.openstreetmap.org/?mlat=38.144163&mlon=13.357473&zoom=18#map=18/38.144163/13.357473
tp_105,105,105,FONTANELLA,"SALITA BELMONTE, 40 ","38.144994, 13.368535",13.368535,38.144994,"https://maps.google.com/?q=38.144994,13.368535",https://www.openstreetmap.org/?mlat=38.144994&mlon=13.368535&zoom=18#map=18/38.144994/13.368535
tp_106,106,106,FONTANELLA,"VIA FLORIO, 27 E","38.163538, 13.326594",13.326594,38.163538,"https://maps.google.com/?q=38.163538,13.326594",https://www.openstreetmap.org/?mlat=38.163538&mlon=13.326594&zoom=18#map=18/38.163538/13.326594
tp_107,107,107,FONTANELLA,"VIA RESUTTANA, 372","38.152231, 13.336199",13.336199,38.152231,"https://maps.google.com/?q=38.152231,13.336199",https://www.openstreetmap.org/?mlat=38.152231&mlon=13.336199&zoom=18#map=18/38.152231/13.336199
tp_108,108,108,FONTANELLA,"VICOLO FELICE, 9","38.137681, 13.327315",13.327315,38.137681,"https://maps.google.com/?q=38.137681,13.327315",https://www.openstreetmap.org/?mlat=38.137681&mlon=13.327315&zoom=18#map=18/38.137681/13.327315
tp_109,109,109,FONTANELLA,"VIA FELICE, 4 ","38.138468, 13.328337",13.328337,38.138468,"https://maps.google.com/?q=38.138468,13.328337",https://www.openstreetmap.org/?mlat=38.138468&mlon=13.328337&zoom=18#map=18/38.138468/13.328337
tp_110,110,110,FONTANELLA,"CORTILE PRESTIGIACOMO, 10 IN VIA CASTELLANA ","38.125969, 13.311333",13.311333,38.125969,"https://maps.google.com/?q=38.125969,13.311333",https://www.openstreetmap.org/?mlat=38.125969&mlon=13.311333&zoom=18#map=18/38.125969/13.311333
tp_111,111,111,FONTANELLA,"PIZZETTA DI CRISTOFALO, 5 ","38.145292, 13.366613",13.366613,38.145292,"https://maps.google.com/?q=38.145292,13.366613",https://www.openstreetmap.org/?mlat=38.145292&mlon=13.366613&zoom=18#map=18/38.145292/13.366613
tp_112,112,112,FONTANELLA,"FONDO MORTILLARO, 6 ","38.096828, 13.389449",13.389449,38.096828,"https://maps.google.com/?q=38.096828,13.389449",https://www.openstreetmap.org/?mlat=38.096828&mlon=13.389449&zoom=18#map=18/38.096828/13.389449
tp_113,113,113,FONTANELLA,"VIA CARUSO, 43 ","38.154404, 13.373851",13.373851,38.154404,"https://maps.google.com/?q=38.154404,13.373851",https://www.openstreetmap.org/?mlat=38.154404&mlon=13.373851&zoom=18#map=18/38.154404/13.373851
tp_114,114,114,FONTANELLA,"VIA GIARDINA, 2 ","38.068478, 13.418855",13.418855,38.068478,"https://maps.google.com/?q=38.068478,13.418855",https://www.openstreetmap.org/?mlat=38.068478&mlon=13.418855&zoom=18#map=18/38.068478/13.418855
tp_115,115,115,FONTANELLA,"VIA GIARDINA, 53 ","38.06754, 13.417459",13.417459,38.06754,"https://maps.google.com/?q=38.06754,13.417459",https://www.openstreetmap.org/?mlat=38.06754&mlon=13.417459&zoom=18#map=18/38.06754/13.417459
tp_116,116,116,FONTANELLA,"PIAZZA GIARDINA, 3 ","38.067044, 13.416643",13.416643,38.067044,"https://maps.google.com/?q=38.067044,13.416643",https://www.openstreetmap.org/?mlat=38.067044&mlon=13.416643&zoom=18#map=18/38.067044/13.416643
tp_117,117,117,FONTANELLA,"CORSO DEI MILLE, 1294 ","38.09373, 13.405929",13.405929,38.09373,"https://maps.google.com/?q=38.09373,13.405929",https://www.openstreetmap.org/?mlat=38.09373&mlon=13.405929&zoom=18#map=18/38.09373/13.405929
tp_118,118,118,FONTANELLA,"CORSO DEI MILLE, 1258 ","38.093465, 13.406831",13.406831,38.093465,"https://maps.google.com/?q=38.093465,13.406831",https://www.openstreetmap.org/?mlat=38.093465&mlon=13.406831&zoom=18#map=18/38.093465/13.406831
tp_119,119,119,FONTANELLA,"CORSO DEI MILLE, 988 ","38.098127, 13.393617",13.393617,38.098127,"https://maps.google.com/?q=38.098127,13.393617",https://www.openstreetmap.org/?mlat=38.098127&mlon=13.393617&zoom=18#map=18/38.098127/13.393617
tp_120,120,120,FONTANELLA,"VIA GIAFAR, 127 ","38.093763, 13.387449",13.387449,38.093763,"https://maps.google.com/?q=38.093763,13.387449",https://www.openstreetmap.org/?mlat=38.093763&mlon=13.387449&zoom=18#map=18/38.093763/13.387449
tp_121,121,121,FONTANELLA,"VIA BRANCACCIO, 228 ","38.096174, 13.382879",13.382879,38.096174,"https://maps.google.com/?q=38.096174,13.382879",https://www.openstreetmap.org/?mlat=38.096174&mlon=13.382879&zoom=18#map=18/38.096174/13.382879
tp_122,122,122,FONTANELLA,"VIA CIACULLI, 240 ","38.075933, 13.407128",13.407128,38.075933,"https://maps.google.com/?q=38.075933,13.407128",https://www.openstreetmap.org/?mlat=38.075933&mlon=13.407128&zoom=18#map=18/38.075933/13.407128
tp_123,123,123,FONTANELLA,"VIA CIACULLI, 216 ","38.07704, 13.40454",13.40454,38.07704,"https://maps.google.com/?q=38.07704,13.40454",https://www.openstreetmap.org/?mlat=38.07704&mlon=13.40454&zoom=18#map=18/38.07704/13.40454
tp_124,124,124,FONTANELLA,"VIA GIULIO TENAGLIA, 41 ","38.079246, 13.398733",13.398733,38.079246,"https://maps.google.com/?q=38.079246,13.398733",https://www.openstreetmap.org/?mlat=38.079246&mlon=13.398733&zoom=18#map=18/38.079246/13.398733
tp_125,125,125,FONTANELLA,"VIA GUADAGNA, 50 ","38.100082, 13.368958",13.368958,38.100082,"https://maps.google.com/?q=38.100082,13.368958",https://www.openstreetmap.org/?mlat=38.100082&mlon=13.368958&zoom=18#map=18/38.100082/13.368958
tp_126,126,126,FONTANELLA,"PIAZZA VERGINE MARIA, 12 ","38.165789, 13.36725",13.36725,38.165789,"https://maps.google.com/?q=38.165789,13.36725",https://www.openstreetmap.org/?mlat=38.165789&mlon=13.36725&zoom=18#map=18/38.165789/13.36725
tp_127,127,127,FONTANELLA,"VIA SPERONE, 204 ","38.099475, 13.3994",13.3994,38.099475,"https://maps.google.com/?q=38.099475,13.3994",https://www.openstreetmap.org/?mlat=38.099475&mlon=13.3994&zoom=18#map=18/38.099475/13.3994
tp_128,128,128,FONTANELLA,"PIAZZA S. ORSOLA, 7 ","38.10116, 13.361543",13.361543,38.10116,"https://maps.google.com/?q=38.10116,13.361543",https://www.openstreetmap.org/?mlat=38.10116&mlon=13.361543&zoom=18#map=18/38.10116/13.361543
tp_129,129,129,FONTANELLA,"PIAZZA SAN GREGORIO, 13 ","38.118552, 13.355178",13.355178,38.118552,"https://maps.google.com/?q=38.118552,13.355178",https://www.openstreetmap.org/?mlat=38.118552&mlon=13.355178&zoom=18#map=18/38.118552/13.355178
tp_130,130,130,FONTANELLA,"VIA SANT'ALESANDRO, 47 ","38.120685, 13.364111",13.364111,38.120685,"https://maps.google.com/?q=38.120685,13.364111",https://www.openstreetmap.org/?mlat=38.120685&mlon=13.364111&zoom=18#map=18/38.120685/13.364111
tp_131,131,131,FONTANELLA,"PIAZZA SANTO SPIRITO, 15 ","38.11984, 13.370935",13.370935,38.11984,"https://maps.google.com/?q=38.11984,13.370935",https://www.openstreetmap.org/?mlat=38.11984&mlon=13.370935&zoom=18#map=18/38.11984/13.370935
tp_132,132,132,FONTANELLA,PIAZZA CHIESA DEI COCCHIERI,"38.115299, 13.367446",13.367446,38.115299,"https://maps.google.com/?q=38.115299,13.367446",https://www.openstreetmap.org/?mlat=38.115299&mlon=13.367446&zoom=18#map=18/38.115299/13.367446
tp_133,133,133,FONTANELLA,"ARCO DEI CARTARI, 7 ","38.116642, 13.365605",13.365605,38.116642,"https://maps.google.com/?q=38.116642,13.365605",https://www.openstreetmap.org/?mlat=38.116642&mlon=13.365605&zoom=18#map=18/38.116642/13.365605
tp_134,134,134,FONTANELLA,"FONDO MICCIULLA, 11 ","38.105585, 13.322962",13.322962,38.105585,"https://maps.google.com/?q=38.105585,13.322962",https://www.openstreetmap.org/?mlat=38.105585&mlon=13.322962&zoom=18#map=18/38.105585/13.322962
tp_135,135,135,FONTANELLA,"PIAZZA MULINO A VENTO, 1 ","38.127628, 13.358786",13.358786,38.127628,"https://maps.google.com/?q=38.127628,13.358786",https://www.openstreetmap.org/?mlat=38.127628&mlon=13.358786&zoom=18#map=18/38.127628/13.358786
tp_136,136,136,FONTANELLA,PIAZZETTA ETTORE XIMENES,"38.128977, 13.358075",13.358075,38.128977,"https://maps.google.com/?q=38.128977,13.358075",https://www.openstreetmap.org/?mlat=38.128977&mlon=13.358075&zoom=18#map=18/38.128977/13.358075
tp_137,137,137,FONTANELLA,CITTA' DEI RAGAZZI IN VIALE DUCA DEGLI ABRUZZI,"38.168224, 13.328953",13.328953,38.168224,"https://maps.google.com/?q=38.168224,13.328953",https://www.openstreetmap.org/?mlat=38.168224&mlon=13.328953&zoom=18#map=18/38.168224/13.328953
tp_138,138,138,FONTANELLA,"PIZZA PERANNI DOMENICO, 10 ","38.114777, 13.352246",13.352246,38.114777,"https://maps.google.com/?q=38.114777,13.352246",https://www.openstreetmap.org/?mlat=38.114777&mlon=13.352246&zoom=18#map=18/38.114777/13.352246
tp_139,139,139,FONTANELLA,"PIAZZETTA SETTECANTONI, 2 ","38.113477, 13.357842",13.357842,38.113477,"https://maps.google.com/?q=38.113477,13.357842",https://www.openstreetmap.org/?mlat=38.113477&mlon=13.357842&zoom=18#map=18/38.113477/13.357842
tp_140,140,140,FONTANELLA,VIA VILLAGRAZIA 467,"38.07683, 13.332204",13.332204,38.07683,"https://maps.google.com/?q=38.07683,13.332204",https://www.openstreetmap.org/?mlat=38.07683&mlon=13.332204&zoom=18#map=18/38.07683/13.332204
tp_141,141,141,FONTANELLA,"PIAZZA TOMMASO NATALE, 90","38.190947, 13.285067",13.285067,38.190947,"https://maps.google.com/?q=38.190947,13.285067",https://www.openstreetmap.org/?mlat=38.190947&mlon=13.285067&zoom=18#map=18/38.190947/13.285067
tp_142,142,142,FONTANELLA,"SALITACORTILE  LE CHIAVI II, 39","38.146078, 13.366538",13.366538,38.146078,"https://maps.google.com/?q=38.146078,13.366538",https://www.openstreetmap.org/?mlat=38.146078&mlon=13.366538&zoom=18#map=18/38.146078/13.366538
tp_143,143,143,FONTANELLA,"VIA MATER DOLOROSA, 97","38.173522, 13.330118",13.330118,38.173522,"https://maps.google.com/?q=38.173522,13.330118",https://www.openstreetmap.org/?mlat=38.173522&mlon=13.330118&zoom=18#map=18/38.173522/13.330118
tp_144,144,144,FONTANELLA,"VIA SS. SALVATORE, 30","38.114269, 13.358899",13.358899,38.114269,"https://maps.google.com/?q=38.114269,13.358899",https://www.openstreetmap.org/?mlat=38.114269&mlon=13.358899&zoom=18#map=18/38.114269/13.358899
tp_145,145,145,FONTANELLA,"VIA CONTE FEDERICO, 61","38.093773, 13.385614",13.385614,38.093773,"https://maps.google.com/?q=38.093773,13.385614",https://www.openstreetmap.org/?mlat=38.093773&mlon=13.385614&zoom=18#map=18/38.093773/13.385614
tp_146,146,146,FONTANELLA,CORTILE LOMBINO,"38.095768, 13.381778",13.381778,38.095768,"https://maps.google.com/?q=38.095768,13.381778",https://www.openstreetmap.org/?mlat=38.095768&mlon=13.381778&zoom=18#map=18/38.095768/13.381778
tp_147,147,147,FONTANELLA,"PIAZZETTA CINA', 97","38.066279, 13.416",13.416,38.066279,"https://maps.google.com/?q=38.066279,13.416",https://www.openstreetmap.org/?mlat=38.066279&mlon=13.416&zoom=18#map=18/38.066279/13.416
tp_148,148,148,FONTANELLA,FORO ITALICO,"38.117118, 13.374003",13.374003,38.117118,"https://maps.google.com/?q=38.117118,13.374003",https://www.openstreetmap.org/?mlat=38.117118&mlon=13.374003&zoom=18#map=18/38.117118/13.374003
tp_149,149,149,FONTANELLA,"VIA SAN LORENZO, 202","38.162785, 13.323633",13.323633,38.162785,"https://maps.google.com/?q=38.162785,13.323633",https://www.openstreetmap.org/?mlat=38.162785&mlon=13.323633&zoom=18#map=18/38.162785/13.323633
tp_150,150,150,FONTANELLA,VIA FAUSTO COPPI,"38.180716, 13.318222",13.318222,38.180716,"https://maps.google.com/?q=38.180716,13.318222",https://www.openstreetmap.org/?mlat=38.180716&mlon=13.318222&zoom=18#map=18/38.180716/13.318222
