id,id_1,n,Nome,Indirizzo,Coordinate,X,Y,maps,osm
tp_025,025,25,FONTANA,VICOLO MEZZOJUSO,"38.113334, 13.366064",13.366064,38.113334,"https://maps.google.com/?q=38.113334,13.366064",https://www.openstreetmap.org/?mlat=38.113334&mlon=13.366064&zoom=18#map=18/38.113334/13.366064
tp_026,026,26,FONTANELLA,PIAZZA MESCHITA,"38.113609, 13.364339",13.364339,38.113609,"https://maps.google.com/?q=38.113609,13.364339",https://www.openstreetmap.org/?mlat=38.113609&mlon=13.364339&zoom=18#map=18/38.113609/13.364339
tp_027,027,27,FONTANELLA,"VIA BOLOGNA, 24 ","38.113426, 13.364561",13.364561,38.113426,"https://maps.google.com/?q=38.113426,13.364561",https://www.openstreetmap.org/?mlat=38.113426&mlon=13.364561&zoom=18#map=18/38.113426/13.364561
tp_028,028,28,FONTANELLA,"VIA MESSINA MARINE, 637 ","38.09748, 13.416208",13.416208,38.09748,"https://maps.google.com/?q=38.09748,13.416208",https://www.openstreetmap.org/?mlat=38.09748&mlon=13.416208&zoom=18#map=18/38.09748/13.416208
tp_029,029,29,FONTANELLA,"CORSO DEI MILLE, 384 ","38.102967, 13.379517",13.379517,38.102967,"https://maps.google.com/?q=38.102967,13.379517",https://www.openstreetmap.org/?mlat=38.102967&mlon=13.379517&zoom=18#map=18/38.102967/13.379517
tp_030,030,30,FONTANELLA,"VIA SPERONE, 296 ","38.09916, 13.401636",13.401636,38.09916,"https://maps.google.com/?q=38.09916,13.401636",https://www.openstreetmap.org/?mlat=38.09916&mlon=13.401636&zoom=18#map=18/38.09916/13.401636
tp_031,031,31,FONTANELLA,"VIA SPERONE, 66 A ","38.099477, 13.399401",13.399401,38.099477,"https://maps.google.com/?q=38.099477,13.399401",https://www.openstreetmap.org/?mlat=38.099477&mlon=13.399401&zoom=18#map=18/38.099477/13.399401
tp_032,032,32,FONTANELLA,CORSO DEI MILLE 1620,"38.088055, 13.420907",13.420907,38.088055,"https://maps.google.com/?q=38.088055,13.420907",https://www.openstreetmap.org/?mlat=38.088055&mlon=13.420907&zoom=18#map=18/38.088055/13.420907
tp_033,033,33,FONTANELLA,"VIA BARRESI ,7 ","38.079082, 13.373998",13.373998,38.079082,"https://maps.google.com/?q=38.079082,13.373998",https://www.openstreetmap.org/?mlat=38.079082&mlon=13.373998&zoom=18#map=18/38.079082/13.373998
tp_034,034,34,FONTANELLA,"VIA DECOLLATI, 14 ","38.105165, 13.371716",13.371716,38.105165,"https://maps.google.com/?q=38.105165,13.371716",https://www.openstreetmap.org/?mlat=38.105165&mlon=13.371716&zoom=18#map=18/38.105165/13.371716
tp_035,035,35,FONTANELLA,"VIA DEL CELSO, 85","38.116145, 13.358085",13.358085,38.116145,"https://maps.google.com/?q=38.116145,13.358085",https://www.openstreetmap.org/?mlat=38.116145&mlon=13.358085&zoom=18#map=18/38.116145/13.358085
tp_036,036,36,FONTANELLA,"PIAZZETTA PIETRO SPECIALE, 1 ","38.113976, 13.359963",13.359963,38.113976,"https://maps.google.com/?q=38.113976,13.359963",https://www.openstreetmap.org/?mlat=38.113976&mlon=13.359963&zoom=18#map=18/38.113976/13.359963
tp_037,037,37,FONTANELLA,"PIAZZA TAVOLA TONDA, 18 ","38.120135, 13.365852",13.365852,38.120135,"https://maps.google.com/?q=38.120135,13.365852",https://www.openstreetmap.org/?mlat=38.120135&mlon=13.365852&zoom=18#map=18/38.120135/13.365852
tp_038,038,38,FONTANA,PIAZZA VITTORIA,"38.112656, 13.355584",13.355584,38.112656,"https://maps.google.com/?q=38.112656,13.355584",https://www.openstreetmap.org/?mlat=38.112656&mlon=13.355584&zoom=18#map=18/38.112656/13.355584
tp_039,039,39,FONTANELLA,"VIA AGOSTINO CATALANO, 80  ","38.104312, 13.341897",13.341897,38.104312,"https://maps.google.com/?q=38.104312,13.341897",https://www.openstreetmap.org/?mlat=38.104312&mlon=13.341897&zoom=18#map=18/38.104312/13.341897
tp_040,040,40,FONTANELLA,"PIAZZA SAN GIOVANNI ALLA GUILLA, 4 ","38.116226, 13.356055",13.356055,38.116226,"https://maps.google.com/?q=38.116226,13.356055",https://www.openstreetmap.org/?mlat=38.116226&mlon=13.356055&zoom=18#map=18/38.116226/13.356055
tp_041,041,41,FONTANELLA,"PIAZZETTA DELLA CANNA, 2 ","38.115866, 13.359141",13.359141,38.115866,"https://maps.google.com/?q=38.115866,13.359141",https://www.openstreetmap.org/?mlat=38.115866&mlon=13.359141&zoom=18#map=18/38.115866/13.359141
tp_042,042,42,FONTANELLA,"PIAZZA RITIRO SAN PIETRO, 20 ","38.109595, 13.35887",13.35887,38.109595,"https://maps.google.com/?q=38.109595,13.35887",https://www.openstreetmap.org/?mlat=38.109595&mlon=13.35887&zoom=18#map=18/38.109595/13.35887
tp_043,043,43,FONTANELLA,"PIAZZETTA DELLE API, 6 ","38.1169, 13.358557",13.358557,38.1169,"https://maps.google.com/?q=38.1169,13.358557",https://www.openstreetmap.org/?mlat=38.1169&mlon=13.358557&zoom=18#map=18/38.1169/13.358557
tp_044,044,44,FONTANA,VIA DELLA LIBERTA' GIARDINO INGLESE,"38.131958, 13.350762",13.350762,38.131958,"https://maps.google.com/?q=38.131958,13.350762",https://www.openstreetmap.org/?mlat=38.131958&mlon=13.350762&zoom=18#map=18/38.131958/13.350762
tp_045,045,45,FONTANELLA,PIAZZA VILLAGRAZIA,"38.07816, 13.333445",13.333445,38.07816,"https://maps.google.com/?q=38.07816,13.333445",https://www.openstreetmap.org/?mlat=38.07816&mlon=13.333445&zoom=18#map=18/38.07816/13.333445
tp_046,046,46,FONTANELLA,FONDO PECORARO (VIA FALSOMIELE),"38.076736, 13.369887",13.369887,38.076736,"https://maps.google.com/?q=38.076736,13.369887",https://www.openstreetmap.org/?mlat=38.076736&mlon=13.369887&zoom=18#map=18/38.076736/13.369887
tp_047,047,47,FONTANELLA,VIA MADONNA DEL SOCCORSO 3,"38.110006, 13.325337",13.325337,38.110006,"https://maps.google.com/?q=38.110006,13.325337",https://www.openstreetmap.org/?mlat=38.110006&mlon=13.325337&zoom=18#map=18/38.110006/13.325337
tp_048,048,48,FONTANELLA,"VIA LORENZO IANDOLINO, 54","38.196577, 13.312688",13.312688,38.196577,"https://maps.google.com/?q=38.196577,13.312688",https://www.openstreetmap.org/?mlat=38.196577&mlon=13.312688&zoom=18#map=18/38.196577/13.312688
tp_049,049,49,FONTANELLA,VIA CORTILE CASTELLANA BANDIERA,"38.147660, 13.363620",13.36362,38.14766,"https://maps.google.com/?q=38.14766,13.36362",https://www.openstreetmap.org/?mlat=38.14766&mlon=13.36362&zoom=18#map=18/38.14766/13.36362
tp_050,050,50,FONTANA,VICOLO SEIDITA IN VIA CASAMICCIOLA,"38.125994, 13.311662",13.311662,38.125994,"https://maps.google.com/?q=38.125994,13.311662",https://www.openstreetmap.org/?mlat=38.125994&mlon=13.311662&zoom=18#map=18/38.125994/13.311662
tp_051,051,51,FONTANELLA,"VIA MESSINA MARINE, 50 ","38.10695, 13.383327",13.383327,38.10695,"https://maps.google.com/?q=38.10695,13.383327",https://www.openstreetmap.org/?mlat=38.10695&mlon=13.383327&zoom=18#map=18/38.10695/13.383327
tp_052,052,52,FONTANA,PIAZZETTA VINCENZO DI GIOVANNI,"38.115596, 13.356896",13.356896,38.115596,"https://maps.google.com/?q=38.115596,13.356896",https://www.openstreetmap.org/?mlat=38.115596&mlon=13.356896&zoom=18#map=18/38.115596/13.356896
