n,Nome,Indirizzo,Coordinate,X,Y
65,FONTANELLA,"PIAZZA PIETRO MICCA, 18","38.109259, 13.308583",13.308583,38.109259
66,FONTANELLA,"VIA UMBERTO MADDALENA, 232","38.108181, 13.308868",13.308868,38.108181
67,FONTANELLA,"VIA ASILO INFANTILE, 1","38.195186, 13.312224",13.312224,38.195186
68,FONTANELLA,"VIA PORTELLO ,14","38.113467, 13.33033",13.33033,38.113467
69,FONTANELLA,"VIA MADONNADEL SOCCORSO, 41 A","38.110867, 13.324978",13.324978,38.110867
70,FONTANELLA,"PIAZZA MONDELLO, 1","38.20721, 13.326597",13.326597,38.20721
71,FONTANELLA,"VIA BAIDA, 21 COD SERVIZIO 177024","38.10846, 13.305472",13.305472,38.10846
72,FONTANELLA,"VIA BARCAIOLI, 44","38.199366, 13.277711",13.277711,38.199366
73,FONTANELLA,"VIA UMBERTO MADDALENA, 113","38.107688, 13.3092",13.3092,38.107688
74,FONTANELLA,"VIA UMBERTO MADDALENA, 103","38.106864, 13.309612",13.309612,38.106864
75,FONTANELLA,"CORSO CALATAFIMI,1157","38.093992, 13.307838",13.307838,38.093992
76,FONTANELLA,"VIA ALTARELLO, 76","38.109835, 13.323331",13.323331,38.109835
77,FONTANELLA,"VIA AMORELLO, 1","38.19924, 13.276028",13.276028,38.19924
78,FONTANELLA,PIAZZA SS. COSIMA E DAMIANO,"38.198393, 13.276254",13.276254,38.198393
79,FONTANELLA,PIAZZA MARINA DI SFERRACAVALLO,"38.198261, 13.274645",13.274645,38.198261
80,FONTANELLA,"VIA SFERRACAVALLO, 198","38.196957, 13.277935",13.277935,38.196957
81,FONTANELLA,PIAZZETTA BAGLICELLO,"38.197802, 13.275186",13.275186,38.197802
82,FONTANELLA,"VIA TRABUCCO, 67","38.147962, 13.315455",13.315455,38.147962
83,FONTANELLA,"VIA CARBONE, 67","38.198016, 13.316556",13.316556,38.198016
84,FONTANELLA,"CORSO CALATAFIMI, 217","38.109323, 13.345939",13.345939,38.109323
85,FONTANELLA,PIAZZA GENERALE TURBA,"38.101296, 13.338787",13.338787,38.101296
86,FONTANELLA,"VIA MORICI,1 A","38.165183, 13.367454",13.367454,38.165183
87,FONTANELLA,"PIAZZA TONNARA, 1","38.151374, 13.373589",13.373589,38.151374
88,FONTANELLA,"VIA DELLA LEVA, 40","38.153294, 13.374665",13.374665,38.153294
89,FONTANELLA,CORTILE CASERMAGGIO,"38.110888, 13.347125",13.347125,38.110888
90,FONTANELLA,"VIA MICHELE FANARA, 2","38.108705, 13.307046",13.307046,38.108705
91,FONTANELLA,VIA DANISINNI ANG. LA FIURA,"38.111831, 13.346463",13.346463,38.111831
92,FONTANELLA,"VIA SCOPARI, 6","38.11757, 13.371578",13.371578,38.11757
93,FONTANELLA,PIAZZETTA CARUSO ARENELLA,"38.153135, 13.37399",13.37399,38.153135
94,FONTANELLA,VIA DEI PESCATORI,"38.199397, 13.277714",13.277714,38.199397
95,FONTANELLA,"PIAZZA UDITORE, 15","38.131648, 13.322712",13.322712,38.131648
96,FONTANELLA,VIA CASALINI ANG. LEONARDO DA VINCI,"38.126913, 13.313684",13.313684,38.126913
97,FONTANELLA,"VIA TOMMASO NATALE, 61","38.174382, 13.301743",13.301743,38.174382
98,FONTANELLA,"VIA  MASSAIA GUGLIELMO CARDINALE, 159","38.154213, 13.371165",13.371165,38.154213
99,FONTANELLA,"CORSO CALATAFIMI, 927","38.100284, 13.323104",13.323104,38.100284
100,FONTANELLA,"VIA RESUTTANA, 418 ","38.153186, 13.334822",13.334822,38.153186
101,FONTANELLA,PIAZZETTA SCANNASERPE,"38.153059, 13.332909",13.332909,38.153059
102,FONTANELLA,"VIA NUOVA 106, ","38.159765, 13.321899",13.321899,38.159765
103,FONTANELLA,"VIA GIUSINO, 24 ","38.172812, 13.334687",13.334687,38.172812
104,FONTANELLA,"VIA ISAC RABIN, 33","38.144163, 13.357473",13.357473,38.144163
105,FONTANELLA,"SALITA BELMONTE, 40 ","38.144994, 13.368535",13.368535,38.144994
106,FONTANELLA,"VIA FLORIO, 27 E","38.163538, 13.326594",13.326594,38.163538
107,FONTANELLA,"VIA RESUTTANA, 372","38.152231, 13.336199",13.336199,38.152231
108,FONTANELLA,"VICOLO FELICE, 9","38.137681, 13.327315",13.327315,38.137681
109,FONTANELLA,"VIA FELICE, 4 ","38.138468, 13.328337",13.328337,38.138468
110,FONTANELLA,"CORTILE PRESTIGIACOMO, 10 IN VIA CASTELLANA ","38.125969, 13.311333",13.311333,38.125969
111,FONTANELLA,"PIZZETTA DI CRISTOFALO, 5 ","38.145292, 13.366613",13.366613,38.145292
112,FONTANELLA,"FONDO MORTILLARO, 6 ","38.096828, 13.389449",13.389449,38.096828
113,FONTANELLA,"VIA CARUSO, 43 ","38.154404, 13.373851",13.373851,38.154404
114,FONTANELLA,"VIA GIARDINA, 2 ","38.068478, 13.418855",13.418855,38.068478
115,FONTANELLA,"VIA GIARDINA, 53 ","38.06754, 13.417459",13.417459,38.06754
116,FONTANELLA,"PIAZZA GIARDINA, 3 ","38.067044, 13.416643",13.416643,38.067044
117,FONTANELLA,"CORSO DEI MILLE, 1294 ","38.09373, 13.405929",13.405929,38.09373
118,FONTANELLA,"CORSO DEI MILLE, 1258 ","38.093465, 13.406831",13.406831,38.093465
119,FONTANELLA,"CORSO DEI MILLE, 988 ","38.098127, 13.393617",13.393617,38.098127
120,FONTANELLA,"VIA GIAFAR, 127 ","38.093763, 13.387449",13.387449,38.093763
121,FONTANELLA,"VIA BRANCACCIO, 228 ","38.096174, 13.382879",13.382879,38.096174
122,FONTANELLA,"VIA CIACULLI, 240 ","38.075933, 13.407128",13.407128,38.075933
123,FONTANELLA,"VIA CIACULLI, 216 ","38.07704, 13.40454",13.40454,38.07704
124,FONTANELLA,"VIA GIULIO TENAGLIA, 41 ","38.079246, 13.398733",13.398733,38.079246
125,FONTANELLA,"VIA GUADAGNA, 50 ","38.100082, 13.368958",13.368958,38.100082
126,FONTANELLA,"PIAZZA VERGINE MARIA, 12 ","38.165789, 13.36725",13.36725,38.165789
127,FONTANELLA,"VIA SPERONE, 204 ","38.099475, 13.3994",13.3994,38.099475
128,FONTANELLA,"PIAZZA S. ORSOLA, 7 ","38.10116, 13.361543",13.361543,38.10116
129,FONTANELLA,"PIAZZA SAN GREGORIO, 13 ","38.118552, 13.355178",13.355178,38.118552
130,FONTANELLA,"VIA SANT'ALESANDRO, 47 ","38.120685, 13.364111",13.364111,38.120685
131,FONTANELLA,"PIAZZA SANTO SPIRITO, 15 ","38.11984, 13.370935",13.370935,38.11984
132,FONTANELLA,PIAZZA CHIESA DEI COCCHIERI,"38.115299, 13.367446",13.367446,38.115299
133,FONTANELLA,"ARCO DEI CARTARI, 7 ","38.116642, 13.365605",13.365605,38.116642
134,FONTANELLA,"FONDO MICCIULLA, 11 ","38.105585, 13.322962",13.322962,38.105585
135,FONTANELLA,"PIAZZA MULINO A VENTO, 1 ","38.127628, 13.358786",13.358786,38.127628
136,FONTANELLA,PIAZZETTA ETTORE XIMENES ,"38.128977, 13.358075",13.358075,38.128977
137,FONTANELLA,CITTA' DEI RAGAZZI IN VIALE DUCA DEGLI ABRUZZI ,"38.168224, 13.328953",13.328953,38.168224
138,FONTANELLA,"PIZZA PERANNI DOMENICO, 10 ","38.114777, 13.352246",13.352246,38.114777
139,FONTANELLA,"PIAZZETTA SETTECANTONI, 2 ","38.113477, 13.357842",13.357842,38.113477
140,FONTANELLA,VIA VILLAGRAZIA 467,"38.07683, 13.332204",13.332204,38.07683
141,FONTANELLA,"PIAZZA TOMMASO NATALE, 90","38.190947, 13.285067",13.285067,38.190947
142,FONTANELLA,"SALITACORTILE  LE CHIAVI II, 39","38.146078, 13.366538",13.366538,38.146078
143,FONTANELLA,"VIA MATER DOLOROSA, 97","38.173522, 13.330118",13.330118,38.173522
144,FONTANELLA,"VIA SS. SALVATORE, 30","38.114269, 13.358899",13.358899,38.114269
145,FONTANELLA,"VIA CONTE FEDERICO, 61","38.093773, 13.385614",13.385614,38.093773
146,FONTANELLA,CORTILE LOMBINO ,"38.095768, 13.381778",13.381778,38.095768
147,FONTANELLA,"PIAZZETTA CINA', 97","38.066279, 13.416",13.416,38.066279
148,FONTANELLA,FORO ITALICO,"38.117118, 13.374003",13.374003,38.117118
149,FONTANELLA,"VIA SAN LORENZO, 202","38.162785, 13.323633",13.323633,38.162785
150,FONTANELLA,VIA FAUSTO COPPI,"38.180716, 13.318222",13.318222,38.180716
